"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","301","Update a book - incorrect id format","","Sun Aug 03 08:29:19 GMT 2025","passed","Sun Aug 03 08:29:19 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonIncorrectIdFormat"
"","277","Add book with existing id","","Sun Aug 03 08:29:22 GMT 2025","failed","Sun Aug 03 08:29:22 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithExistingId"
"","293","Update a book - invalid method","","Sun Aug 03 08:29:18 GMT 2025","passed","Sun Aug 03 08:29:19 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithInvalidMethod"
"","294","Update a book - negative page count","","Sun Aug 03 08:29:19 GMT 2025","failed","Sun Aug 03 08:29:19 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNegativePageCount"
"","712","Update a book with id","","Sun Aug 03 08:29:16 GMT 2025","passed","Sun Aug 03 08:29:17 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookById"
"Test to retrieve the list of books and validate the response schema.","535","Get Book List","","Sun Aug 03 08:29:23 GMT 2025","passed","Sun Aug 03 08:29:24 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookList"
"","323","Update a book - empty payload","","Sun Aug 03 08:29:17 GMT 2025","failed","Sun Aug 03 08:29:18 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookEmptyPayload"
"","301","Add new book","","Sun Aug 03 08:29:21 GMT 2025","passed","Sun Aug 03 08:29:22 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBook"
"","291","Add book with incorrect id format","","Sun Aug 03 08:29:21 GMT 2025","passed","Sun Aug 03 08:29:21 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithIncorrectIdFormat"
"","382","Update a book - weird ascii characters in title","","Sun Aug 03 08:29:18 GMT 2025","passed","Sun Aug 03 08:29:18 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithWeirdAsciiCharactersInTitle"
"","304","Get book by ID","","Sun Aug 03 08:29:23 GMT 2025","passed","Sun Aug 03 08:29:23 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookById"
"","294","Add new book - invalid method","","Sun Aug 03 08:29:20 GMT 2025","passed","Sun Aug 03 08:29:21 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookInvalidMethod"
"This scenario fails beecause the API does not validate if the body is empty.","294","Add new book - empty payload","","Sun Aug 03 08:29:21 GMT 2025","failed","Sun Aug 03 08:29:21 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookEmptyPayload"
