"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","344","Update book - non-existing id","","Sat Aug 02 21:15:14 GMT 2025","failed","Sat Aug 02 21:15:14 GMT 2025","","Update Books API","Update book - non-existing id",""
"","358","Add new book - parametrized test example","","Sat Aug 02 21:15:10 GMT 2025","passed","Sat Aug 02 21:15:10 GMT 2025","","Add Books API - Parametrized test example","Add new book - parametrized test example",""
"","675","Get book list","","Sat Aug 02 21:15:08 GMT 2025","passed","Sat Aug 02 21:15:08 GMT 2025","","Get Books API","Get book list",""
"","369","Add new book - parametrized test example","","Sat Aug 02 21:15:11 GMT 2025","failed","Sat Aug 02 21:15:11 GMT 2025","","Add Books API - Parametrized test example","Add new book - parametrized test example",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.
    This scenario fails beecause the API does not validate if the body is empty.","432","Add new book - empty payload","","Sat Aug 02 21:15:03 GMT 2025","failed","Sat Aug 02 21:15:04 GMT 2025","","Add Books API","Add new book - empty payload",""
"","380","Update book","","Sat Aug 02 21:15:11 GMT 2025","passed","Sat Aug 02 21:15:12 GMT 2025","","Update Books API","Update book",""
"","365","Delete book - non-existing id","","Sat Aug 02 21:15:07 GMT 2025","failed","Sat Aug 02 21:15:07 GMT 2025","","Delete Books API","Delete book - non-existing id",""
"","368","Update book - incorrect id format","","Sat Aug 02 21:15:14 GMT 2025","passed","Sat Aug 02 21:15:14 GMT 2025","","Update Books API","Update book - incorrect id format",""
"","378","Delete book","","Sat Aug 02 21:15:06 GMT 2025","passed","Sat Aug 02 21:15:07 GMT 2025","","Delete Books API","Delete book",""
"","395","Add new book - parametrized test example","","Sat Aug 02 21:15:11 GMT 2025","passed","Sat Aug 02 21:15:11 GMT 2025","","Add Books API - Parametrized test example","Add new book - parametrized test example",""
"","365","Update book - wrong pagecount","","Sat Aug 02 21:15:13 GMT 2025","passed","Sat Aug 02 21:15:13 GMT 2025","","Update Books API","Update book - wrong pagecount",""
"","394","Get book by ID","","Sat Aug 02 21:15:08 GMT 2025","passed","Sat Aug 02 21:15:09 GMT 2025","","Get Books API","Get book by ID",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","375","Add new book - lacking title parameter in body","","Sat Aug 02 21:15:04 GMT 2025","failed","Sat Aug 02 21:15:04 GMT 2025","","Add Books API","Add new book - lacking title parameter in body",""
"","365","Add new book - lacking title parameter in body","","Sat Aug 02 21:15:12 GMT 2025","failed","Sat Aug 02 21:15:13 GMT 2025","","Update Books API","Add new book - lacking title parameter in body",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","2061","Add new book","","Sat Aug 02 21:15:01 GMT 2025","passed","Sat Aug 02 21:15:03 GMT 2025","","Add Books API","Add new book",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","371","Add new book - negative pagecount","","Sat Aug 02 21:15:04 GMT 2025","failed","Sat Aug 02 21:15:05 GMT 2025","","Add Books API","Add new book - negative pagecount",""
"","387","Get book by non existing ID","","Sat Aug 02 21:15:09 GMT 2025","passed","Sat Aug 02 21:15:10 GMT 2025","","Get Books API","Get book by non existing ID",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","383","Add new book - existing id","","Sat Aug 02 21:15:05 GMT 2025","failed","Sat Aug 02 21:15:06 GMT 2025","","Add Books API","Add new book - existing id",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","392","Add new book - incorrect timestamp","","Sat Aug 02 21:15:06 GMT 2025","passed","Sat Aug 02 21:15:06 GMT 2025","","Add Books API","Add new book - incorrect timestamp",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","400","Add new book - wrong method","","Sat Aug 02 21:15:05 GMT 2025","passed","Sat Aug 02 21:15:05 GMT 2025","","Add Books API","Add new book - wrong method",""
"","369","Update book - negative pagecount","","Sat Aug 02 21:15:13 GMT 2025","failed","Sat Aug 02 21:15:13 GMT 2025","","Update Books API","Update book - negative pagecount",""
"","369","Add new book - parametrized test example","","Sat Aug 02 21:15:10 GMT 2025","passed","Sat Aug 02 21:15:11 GMT 2025","","Add Books API - Parametrized test example","Add new book - parametrized test example",""
"","365","Update book - weird ascii characters in title","","Sat Aug 02 21:15:15 GMT 2025","passed","Sat Aug 02 21:15:15 GMT 2025","","Update Books API","Update book - weird ascii characters in title",""
"","354","Update book - incorrect timestamp","","Sat Aug 02 21:15:14 GMT 2025","passed","Sat Aug 02 21:15:15 GMT 2025","","Update Books API","Update book - incorrect timestamp",""
"","623","Get book by ID in query param instead of path param","","Sat Aug 02 21:15:09 GMT 2025","passed","Sat Aug 02 21:15:09 GMT 2025","","Get Books API","Get book by ID in query param instead of path param",""
"","364","Update book - wrong method","","Sat Aug 02 21:15:13 GMT 2025","passed","Sat Aug 02 21:15:14 GMT 2025","","Update Books API","Update book - wrong method",""
"","358","Get book by ID - sql injection","","Sat Aug 02 21:15:10 GMT 2025","passed","Sat Aug 02 21:15:10 GMT 2025","","Get Books API","Get book by ID - sql injection",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","360","Add new book - incorrect id format","","Sat Aug 02 21:15:06 GMT 2025","passed","Sat Aug 02 21:15:06 GMT 2025","","Add Books API","Add new book - incorrect id format",""
"","395","Delete book - incorrect id format","","Sat Aug 02 21:15:07 GMT 2025","passed","Sat Aug 02 21:15:08 GMT 2025","","Delete Books API","Delete book - incorrect id format",""
"","376","Update book - empty payload","","Sat Aug 02 21:15:12 GMT 2025","passed","Sat Aug 02 21:15:12 GMT 2025","","Update Books API","Update book - empty payload",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","400","Add new book - wrong pagecount","","Sat Aug 02 21:15:04 GMT 2025","passed","Sat Aug 02 21:15:04 GMT 2025","","Add Books API","Add new book - wrong pagecount",""
