"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","300","Add new author - empty book id parameter in body","","Mon Aug 04 15:25:30 GMT 2025","passed","Mon Aug 04 15:25:31 GMT 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewAuthorWithLackingTitle"
"Test to retrieve the list of books and validate the response schema.","491","Get Book List","","Mon Aug 04 15:25:42 GMT 2025","passed","Mon Aug 04 15:25:43 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookList"
"","289","Get book by ID - sql injection","","Mon Aug 04 15:25:44 GMT 2025","passed","Mon Aug 04 15:25:44 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByIdSqlInjection"
"","269","Add book with existing id","","Mon Aug 04 15:25:40 GMT 2025","failed","Mon Aug 04 15:25:41 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithExistingId"
"","283","Update a book - invalid page count format","","Mon Aug 04 15:25:37 GMT 2025","passed","Mon Aug 04 15:25:37 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithInvalidPageCountFormat"
"","280","Update a book - empty payload","","Mon Aug 04 15:25:35 GMT 2025","failed","Mon Aug 04 15:25:35 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookEmptyPayload"
"","279","Update a book - incorrect timestamp","","Mon Aug 04 15:25:34 GMT 2025","passed","Mon Aug 04 15:25:34 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonIncorrectTimestamp"
"","276","Delete a book with incorrect ID format","","Mon Aug 04 15:25:38 GMT 2025","passed","Mon Aug 04 15:25:38 GMT 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBookWithIncorrectIdFormat"
"","300","Get book by non existing ID","","Mon Aug 04 15:25:43 GMT 2025","passed","Mon Aug 04 15:25:43 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByNonExistingId"
"","284","Delete an author with non existing ID","","Mon Aug 04 15:25:31 GMT 2025","failed","Mon Aug 04 15:25:31 GMT 2025","","tests.authors.DeleteAuthorTests","tests.authors.DeleteAuthorTests","deleteAuthorWithNonExistingId"
"","714","Update an author - problematic characters","","Mon Aug 04 15:25:27 GMT 2025","passed","Mon Aug 04 15:25:28 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithProblematicCharacters"
"","280","Add new book - invalid method","","Mon Aug 04 15:25:38 GMT 2025","passed","Mon Aug 04 15:25:39 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookInvalidMethod"
"","288","Get book by ID","","Mon Aug 04 15:25:42 GMT 2025","passed","Mon Aug 04 15:25:42 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookById"
"","276","Update a book - lacking title parameter in body","","Mon Aug 04 15:25:35 GMT 2025","failed","Mon Aug 04 15:25:36 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithLackingTitle"
"This scenario fails because the API does not validate if the body is empty.","283","Add new author - empty payload","","Mon Aug 04 15:25:31 GMT 2025","failed","Mon Aug 04 15:25:31 GMT 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewAuthorEmptyPayload"
"Test to retrieve an author by ID using query parameters instead of path parameters - the param should be ignored and list of authors should be returned.","394","Get author by ID in query param instead of path param","","Mon Aug 04 15:25:33 GMT 2025","passed","Mon Aug 04 15:25:34 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByQueryParam"
"","289","Update a book - non existing publish date","","Mon Aug 04 15:25:37 GMT 2025","passed","Mon Aug 04 15:25:37 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonExistingPublishDate"
"","284","Update a book - weird ascii characters in title","","Mon Aug 04 15:25:36 GMT 2025","passed","Mon Aug 04 15:25:36 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithWeirdAsciiCharactersInTitle"
"","280","Add new book - invalid method","","Mon Aug 04 15:25:29 GMT 2025","passed","Mon Aug 04 15:25:29 GMT 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewBookInvalidMethod"
"","280","Add book with incorrect timestamp","","Mon Aug 04 15:25:41 GMT 2025","passed","Mon Aug 04 15:25:42 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithIncorrectTimestamp"
"","318","Update an author - invalid book id format","","Mon Aug 04 15:25:27 GMT 2025","passed","Mon Aug 04 15:25:27 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithInvalidIdBookFormat"
"","276","Get author by ID - sql injection","","Mon Aug 04 15:25:33 GMT 2025","passed","Mon Aug 04 15:25:33 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByIdSqlInjection"
"","278","Add new book with invalid page count format","","Mon Aug 04 15:25:41 GMT 2025","passed","Mon Aug 04 15:25:41 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookInvalidPageCount"
"","293","Delete an author with incorrect ID format","","Mon Aug 04 15:25:31 GMT 2025","passed","Mon Aug 04 15:25:32 GMT 2025","","tests.authors.DeleteAuthorTests","tests.authors.DeleteAuthorTests","deleteAuthorWithIncorrectIdFormat"
"","292","Get author by non existing ID","","Mon Aug 04 15:25:32 GMT 2025","passed","Mon Aug 04 15:25:32 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByNonExistingId"
"","297","Update an author - invalid method","","Mon Aug 04 15:25:26 GMT 2025","passed","Mon Aug 04 15:25:26 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithInvalidMethod"
"","286","Get book by invalid ID","","Mon Aug 04 15:25:42 GMT 2025","passed","Mon Aug 04 15:25:42 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByInvalidId"
"","298","Update a book - case sensitive title","","Mon Aug 04 15:25:36 GMT 2025","passed","Mon Aug 04 15:25:36 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookTitleCaseSensitiveCheck"
"","273","Delete an author","","Mon Aug 04 15:25:32 GMT 2025","passed","Mon Aug 04 15:25:32 GMT 2025","","tests.authors.DeleteAuthorTests","tests.authors.DeleteAuthorTests","deleteBook"
"","271","Update a book - invalid method","","Mon Aug 04 15:25:36 GMT 2025","passed","Mon Aug 04 15:25:36 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithInvalidMethod"
"","301","Update an author - lacking lastname parameter in body","","Mon Aug 04 15:25:28 GMT 2025","failed","Mon Aug 04 15:25:28 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithLackingLastName"
"Test to retrieve a book by ID using query parameters instead of path parameters - the param should be ignored and list of books should be returned.","468","Get book by ID in query param instead of path param","","Mon Aug 04 15:25:43 GMT 2025","passed","Mon Aug 04 15:25:44 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByQueryParam"
"","303","Add new author","","Mon Aug 04 15:25:29 GMT 2025","passed","Mon Aug 04 15:25:29 GMT 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewAuthor"
"","274","Delete a book","","Mon Aug 04 15:25:38 GMT 2025","passed","Mon Aug 04 15:25:38 GMT 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBook"
"","284","Add new book with negative page count","","Mon Aug 04 15:25:40 GMT 2025","failed","Mon Aug 04 15:25:40 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookNegativePageCount"
"","317","Update an author - non existing book id","","Mon Aug 04 15:25:26 GMT 2025","failed","Mon Aug 04 15:25:27 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithNonExistingBookId"
"This scenario verifies if the book added in the previous test is persisted in the database.I won't repeat such tests for every other endpoint because this api is not persistent.","563","Add new book - persistence verification","","Mon Aug 04 15:25:39 GMT 2025","failed","Mon Aug 04 15:25:40 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookPersistenceCheck"
