"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","277","Add new book - existing id","","Sat Aug 02 21:35:08 GMT 2025","failed","Sat Aug 02 21:35:08 GMT 2025","","Add Books API","Add new book - existing id",""
"","344","Get book by ID","","Sat Aug 02 21:35:10 GMT 2025","passed","Sat Aug 02 21:35:10 GMT 2025","","Get Books API","Get book by ID",""
"","293","Get book by ID - sql injection","","Sat Aug 02 21:35:11 GMT 2025","passed","Sat Aug 02 21:35:11 GMT 2025","","Get Books API","Get book by ID - sql injection",""
"","264","Delete book - non-existing id","","Sat Aug 02 21:35:09 GMT 2025","failed","Sat Aug 02 21:35:09 GMT 2025","","Delete Books API","Delete book - non-existing id",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","287","Add new book - negative pagecount","","Sat Aug 02 21:35:07 GMT 2025","failed","Sat Aug 02 21:35:07 GMT 2025","","Add Books API","Add new book - negative pagecount",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","292","Add new book - lacking title parameter in body","","Sat Aug 02 21:35:06 GMT 2025","failed","Sat Aug 02 21:35:07 GMT 2025","","Add Books API","Add new book - lacking title parameter in body",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","1972","Add new book","","Sat Aug 02 21:35:04 GMT 2025","passed","Sat Aug 02 21:35:06 GMT 2025","","Add Books API","Add new book",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","274","Add new book - incorrect timestamp","","Sat Aug 02 21:35:08 GMT 2025","passed","Sat Aug 02 21:35:08 GMT 2025","","Add Books API","Add new book - incorrect timestamp",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","280","Add new book - wrong method","","Sat Aug 02 21:35:07 GMT 2025","passed","Sat Aug 02 21:35:08 GMT 2025","","Add Books API","Add new book - wrong method",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","288","Add new book - wrong pagecount","","Sat Aug 02 21:35:07 GMT 2025","passed","Sat Aug 02 21:35:07 GMT 2025","","Add Books API","Add new book - wrong pagecount",""
"","271","Update book - incorrect id format","","Sat Aug 02 21:35:14 GMT 2025","passed","Sat Aug 02 21:35:15 GMT 2025","","Update Books API","Update book - incorrect id format",""
"","268","Update book - weird ascii characters in title","","Sat Aug 02 21:35:15 GMT 2025","passed","Sat Aug 02 21:35:15 GMT 2025","","Update Books API","Update book - weird ascii characters in title",""
"","511","Get book list","","Sat Aug 02 21:35:09 GMT 2025","passed","Sat Aug 02 21:35:10 GMT 2025","","Get Books API","Get book list",""
"","284","Delete book","","Sat Aug 02 21:35:08 GMT 2025","passed","Sat Aug 02 21:35:09 GMT 2025","","Delete Books API","Delete book",""
"","265","Update book - negative pagecount","","Sat Aug 02 21:35:14 GMT 2025","failed","Sat Aug 02 21:35:14 GMT 2025","","Update Books API","Update book - negative pagecount",""
"","301","Delete book - incorrect id format","","Sat Aug 02 21:35:09 GMT 2025","passed","Sat Aug 02 21:35:09 GMT 2025","","Delete Books API","Delete book - incorrect id format",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","309","Add new book - incorrect id format","","Sat Aug 02 21:35:08 GMT 2025","passed","Sat Aug 02 21:35:08 GMT 2025","","Add Books API","Add new book - incorrect id format",""
"","493","Get book by ID in query param instead of path param","","Sat Aug 02 21:35:10 GMT 2025","passed","Sat Aug 02 21:35:11 GMT 2025","","Get Books API","Get book by ID in query param instead of path param",""
"","273","Update book - non-existing id","","Sat Aug 02 21:35:14 GMT 2025","failed","Sat Aug 02 21:35:14 GMT 2025","","Update Books API","Update book - non-existing id",""
