"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.
    This scenario fails beecause the API does not validate if the body is empty.","374","Add new book - empty payload","","Sat Aug 02 21:10:05 GMT 2025","failed","Sat Aug 02 21:10:05 GMT 2025","","Add Books API","Add new book - empty payload",""
"","302","Get book by ID","","Sat Aug 02 21:10:09 GMT 2025","passed","Sat Aug 02 21:10:09 GMT 2025","","Get Books API","Get book by ID",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","288","Add new book - negative pagecount","","Sat Aug 02 21:10:06 GMT 2025","failed","Sat Aug 02 21:10:06 GMT 2025","","Add Books API","Add new book - negative pagecount",""
"","528","Get book list","","Sat Aug 02 21:10:08 GMT 2025","passed","Sat Aug 02 21:10:09 GMT 2025","","Get Books API","Get book list",""
"","278","Delete book","","Sat Aug 02 21:10:08 GMT 2025","passed","Sat Aug 02 21:10:08 GMT 2025","","Delete Books API","Delete book",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","282","Add new book - wrong method","","Sat Aug 02 21:10:06 GMT 2025","passed","Sat Aug 02 21:10:07 GMT 2025","","Add Books API","Add new book - wrong method",""
"","272","Add new book - parametrized test example","","Sat Aug 02 21:10:11 GMT 2025","failed","Sat Aug 02 21:10:11 GMT 2025","","Add Books API - Parametrized test example","Add new book - parametrized test example",""
"  This feature tests the Books API /api/v1/Books/${id} for adding new books.","301","Add new book - incorrect timestamp","","Sat Aug 02 21:10:07 GMT 2025","passed","Sat Aug 02 21:10:08 GMT 2025","","Add Books API","Add new book - incorrect timestamp",""
"","288","Add new book - parametrized test example","","Sat Aug 02 21:10:11 GMT 2025","passed","Sat Aug 02 21:10:11 GMT 2025","","Add Books API - Parametrized test example","Add new book - parametrized test example",""
"","298","Update book - negative pagecount","","Sat Aug 02 21:10:13 GMT 2025","failed","Sat Aug 02 21:10:13 GMT 2025","","Update Books API","Update book - negative pagecount",""
"","290","Add new book - parametrized test example","","Sat Aug 02 21:10:10 GMT 2025","passed","Sat Aug 02 21:10:11 GMT 2025","","Add Books API - Parametrized test example","Add new book - parametrized test example",""
"","283","Update book - incorrect timestamp","","Sat Aug 02 21:10:14 GMT 2025","passed","Sat Aug 02 21:10:14 GMT 2025","","Update Books API","Update book - incorrect timestamp",""
