"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to retrieve the list of books and validate the response schema.","481","Get Book List","","Mon Aug 04 15:35:53 GMT 2025","passed","Mon Aug 04 15:35:53 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookList"
"","268","Add book with incorrect timestamp","","Mon Aug 04 15:35:52 GMT 2025","passed","Mon Aug 04 15:35:52 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithIncorrectTimestamp"
"","302","Update an author - non existing book id","","Mon Aug 04 15:35:37 GMT 2025","failed","Mon Aug 04 15:35:38 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithNonExistingBookId"
"","267","Update a book - empty payload","","Mon Aug 04 15:35:46 GMT 2025","failed","Mon Aug 04 15:35:46 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookEmptyPayload"
"This scenario fails because the API does not validate if the body is empty.","267","Add new author - empty payload","","Mon Aug 04 15:35:42 GMT 2025","failed","Mon Aug 04 15:35:42 GMT 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewAuthorEmptyPayload"
"","291","Add book with incorrect id format","","Mon Aug 04 15:35:50 GMT 2025","passed","Mon Aug 04 15:35:50 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithIncorrectIdFormat"
"","279","Update a book - incorrect timestamp","","Mon Aug 04 15:35:45 GMT 2025","passed","Mon Aug 04 15:35:45 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonIncorrectTimestamp"
"","264","Add new book with negative page count","","Mon Aug 04 15:35:51 GMT 2025","failed","Mon Aug 04 15:35:51 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookNegativePageCount"
"","263","Delete a book","","Mon Aug 04 15:35:49 GMT 2025","passed","Mon Aug 04 15:35:49 GMT 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBook"
"","274","Get author by invalid ID","","Mon Aug 04 15:35:45 GMT 2025","passed","Mon Aug 04 15:35:45 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByInvalidId"
"","276","Delete a book with incorrect ID format","","Mon Aug 04 15:35:48 GMT 2025","passed","Mon Aug 04 15:35:49 GMT 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBookWithIncorrectIdFormat"
"","730","Update an author - problematic characters","","Mon Aug 04 15:35:38 GMT 2025","passed","Mon Aug 04 15:35:39 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithProblematicCharacters"
"This scenario verifies if the book added in the previous test is persisted in the database.I won't repeat such tests for every other endpoint because this api is not persistent.","538","Add new book - persistence verification","","Mon Aug 04 15:35:50 GMT 2025","failed","Mon Aug 04 15:35:50 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookPersistenceCheck"
"","271","Update a book - lacking title parameter in body","","Mon Aug 04 15:35:46 GMT 2025","failed","Mon Aug 04 15:35:46 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithLackingTitle"
"","263","Update a book - non existing id","","Mon Aug 04 15:35:45 GMT 2025","failed","Mon Aug 04 15:35:46 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonExistingId"
"","1285","Update an author - empty payload","","Mon Aug 04 15:35:35 GMT 2025","failed","Mon Aug 04 15:35:36 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorEmptyPayload"
"","280","Update a book with id","","Mon Aug 04 15:35:45 GMT 2025","passed","Mon Aug 04 15:35:45 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookById"
"","292","Update an author - lacking lastname parameter in body","","Mon Aug 04 15:35:39 GMT 2025","failed","Mon Aug 04 15:35:39 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithLackingLastName"
"","328","Add new book","","Mon Aug 04 15:35:50 GMT 2025","passed","Mon Aug 04 15:35:51 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBook"
"","271","Get book by ID - sql injection","","Mon Aug 04 15:35:54 GMT 2025","passed","Mon Aug 04 15:35:54 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByIdSqlInjection"
"","293","Update a book - non existing publish date","","Mon Aug 04 15:35:48 GMT 2025","passed","Mon Aug 04 15:35:48 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonExistingPublishDate"
"","439","Get Authors List","","Mon Aug 04 15:35:44 GMT 2025","passed","Mon Aug 04 15:35:44 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorsList"
"","272","Get author by null ID","","Mon Aug 04 15:35:43 GMT 2025","passed","Mon Aug 04 15:35:43 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByNullId"
"","267","Add author with incorrect id format","","Mon Aug 04 15:35:41 GMT 2025","passed","Mon Aug 04 15:35:41 GMT 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewAuthorWithIncorrectIdFormat"
"","287","Add new author - empty book id parameter in body","","Mon Aug 04 15:35:41 GMT 2025","passed","Mon Aug 04 15:35:42 GMT 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewAuthorWithLackingTitle"
"","273","Get author by ID - sql injection","","Mon Aug 04 15:35:43 GMT 2025","passed","Mon Aug 04 15:35:44 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByIdSqlInjection"
"This scenario fails beecause the API does not validate if the body is empty.","259","Add new book - empty payload","","Mon Aug 04 15:35:49 GMT 2025","failed","Mon Aug 04 15:35:50 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookEmptyPayload"
"","596","Update n author - incorrect id format","","Mon Aug 04 15:35:36 GMT 2025","passed","Mon Aug 04 15:35:37 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithNonIncorrectIdFormat"
"","272","Update a book - incorrect id format","","Mon Aug 04 15:35:48 GMT 2025","passed","Mon Aug 04 15:35:48 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonIncorrectIdFormat"
"","266","Delete a book with non existing ID","","Mon Aug 04 15:35:48 GMT 2025","failed","Mon Aug 04 15:35:48 GMT 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBookWithNonExistingId"
"","264","Add new book - invalid method","","Mon Aug 04 15:35:49 GMT 2025","passed","Mon Aug 04 15:35:49 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookInvalidMethod"
