"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This scenario verifies if the book added in the previous test is persisted in the database.I won't repeat such tests for every other endpoint because this api is not persistent.","639","Add new author - persistence verification","","Fri Oct 17 17:55:54 UTC 2025","failed","Fri Oct 17 17:55:54 UTC 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewAuthorPersistenceCheck"
"This scenario verifies if the book added in the previous test is persisted in the database.I won't repeat such tests for every other endpoint because this api is not persistent.","520","Add new book - persistence verification","","Fri Oct 17 17:56:09 UTC 2025","failed","Fri Oct 17 17:56:09 UTC 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookPersistenceCheck"
"","1481","Add new book - invalid method","","Fri Oct 17 17:55:51 UTC 2025","passed","Fri Oct 17 17:55:52 UTC 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewBookInvalidMethod"
"","306","Update an author - invalid book id format","","Fri Oct 17 17:55:57 UTC 2025","passed","Fri Oct 17 17:55:58 UTC 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithInvalidIdBookFormat"
"","390","Get book by ID","","Fri Oct 17 17:56:01 UTC 2025","passed","Fri Oct 17 17:56:02 UTC 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookById"
"","265","Update a book - invalid method","","Fri Oct 17 17:56:06 UTC 2025","passed","Fri Oct 17 17:56:06 UTC 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithInvalidMethod"
"","276","Delete a book with non existing ID","","Fri Oct 17 17:56:07 UTC 2025","failed","Fri Oct 17 17:56:07 UTC 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBookWithNonExistingId"
"","279","Update an author with id","","Fri Oct 17 17:55:58 UTC 2025","passed","Fri Oct 17 17:55:58 UTC 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorById"
"","274","Update a book - case sensitive title","","Fri Oct 17 17:56:05 UTC 2025","passed","Fri Oct 17 17:56:05 UTC 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookTitleCaseSensitiveCheck"
"","297","Get author by ID - sql injection","","Fri Oct 17 17:56:00 UTC 2025","passed","Fri Oct 17 17:56:00 UTC 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByIdSqlInjection"
"","273","Get book by ID - sql injection","","Fri Oct 17 17:56:03 UTC 2025","passed","Fri Oct 17 17:56:04 UTC 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByIdSqlInjection"
"","270","Update a book with id","","Fri Oct 17 17:56:04 UTC 2025","passed","Fri Oct 17 17:56:04 UTC 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookById"
"","1104","Add new author","","Fri Oct 17 17:55:52 UTC 2025","passed","Fri Oct 17 17:55:54 UTC 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewAuthor"
"","259","Add book with existing id","","Fri Oct 17 17:56:10 UTC 2025","failed","Fri Oct 17 17:56:10 UTC 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithExistingId"
"This scenario fails because the API does not validate if the body is empty.","295","Add new author - empty payload","","Fri Oct 17 17:55:55 UTC 2025","failed","Fri Oct 17 17:55:55 UTC 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewAuthorEmptyPayload"
"","292","Delete an author with non existing ID","","Fri Oct 17 17:55:55 UTC 2025","failed","Fri Oct 17 17:55:56 UTC 2025","","tests.authors.DeleteAuthorTests","tests.authors.DeleteAuthorTests","deleteAuthorWithNonExistingId"
"","260","Update a book - invalid page count format","","Fri Oct 17 17:56:06 UTC 2025","passed","Fri Oct 17 17:56:06 UTC 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithInvalidPageCountFormat"
"","283","Add an author with existing id","","Fri Oct 17 17:55:54 UTC 2025","failed","Fri Oct 17 17:55:54 UTC 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewAuthorWithExistingId"
"","283","Add new author - empty book id parameter in body","","Fri Oct 17 17:55:55 UTC 2025","passed","Fri Oct 17 17:55:55 UTC 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewAuthorWithLackingTitle"
"","260","Update an author - non existing book id","","Fri Oct 17 17:55:57 UTC 2025","failed","Fri Oct 17 17:55:57 UTC 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithNonExistingBookId"
"","262","Add book with incorrect timestamp","","Fri Oct 17 17:56:10 UTC 2025","passed","Fri Oct 17 17:56:11 UTC 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithIncorrectTimestamp"
"","261","Update a book - non existing id","","Fri Oct 17 17:56:04 UTC 2025","failed","Fri Oct 17 17:56:04 UTC 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonExistingId"
"","264","Get book by invalid ID","","Fri Oct 17 17:56:01 UTC 2025","passed","Fri Oct 17 17:56:01 UTC 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByInvalidId"
"","261","Add new book with negative page count","","Fri Oct 17 17:56:09 UTC 2025","failed","Fri Oct 17 17:56:10 UTC 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookNegativePageCount"
"","391","Get book by non existing ID","","Fri Oct 17 17:56:02 UTC 2025","passed","Fri Oct 17 17:56:03 UTC 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByNonExistingId"
"","285","Update a book - negative page count","","Fri Oct 17 17:56:06 UTC 2025","failed","Fri Oct 17 17:56:06 UTC 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNegativePageCount"
"","289","Get author by non existing ID","","Fri Oct 17 17:55:59 UTC 2025","passed","Fri Oct 17 17:55:59 UTC 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByNonExistingId"
"","265","Add book with incorrect id format","","Fri Oct 17 17:56:08 UTC 2025","passed","Fri Oct 17 17:56:09 UTC 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithIncorrectIdFormat"
"","267","Update a book - empty payload","","Fri Oct 17 17:56:05 UTC 2025","failed","Fri Oct 17 17:56:05 UTC 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookEmptyPayload"
"","262","Update a book - incorrect id format","","Fri Oct 17 17:56:07 UTC 2025","passed","Fri Oct 17 17:56:07 UTC 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonIncorrectIdFormat"
"","275","Get author by ID","","Fri Oct 17 17:55:59 UTC 2025","passed","Fri Oct 17 17:55:59 UTC 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorById"
"Test to retrieve the list of books and validate the response schema.","636","Get Book List","","Fri Oct 17 17:56:02 UTC 2025","passed","Fri Oct 17 17:56:02 UTC 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookList"
"","257","Add new book - invalid method","","Fri Oct 17 17:56:08 UTC 2025","passed","Fri Oct 17 17:56:08 UTC 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookInvalidMethod"
"","263","Get author by null ID","","Fri Oct 17 17:55:59 UTC 2025","passed","Fri Oct 17 17:56:00 UTC 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByNullId"
"","266","Update a book - lacking title parameter in body","","Fri Oct 17 17:56:05 UTC 2025","failed","Fri Oct 17 17:56:05 UTC 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithLackingTitle"
"","264","Delete a book with incorrect ID format","","Fri Oct 17 17:56:07 UTC 2025","passed","Fri Oct 17 17:56:08 UTC 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBookWithIncorrectIdFormat"
"","264","Add new book with invalid page count format","","Fri Oct 17 17:56:10 UTC 2025","passed","Fri Oct 17 17:56:10 UTC 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookInvalidPageCount"
"","325","Update a book - non existing publish date","","Fri Oct 17 17:56:06 UTC 2025","passed","Fri Oct 17 17:56:07 UTC 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonExistingPublishDate"
"","264","Update an author - lacking lastname parameter in body","","Fri Oct 17 17:55:58 UTC 2025","failed","Fri Oct 17 17:55:58 UTC 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithLackingLastName"
"","272","Update an author - invalid method","","Fri Oct 17 17:55:57 UTC 2025","passed","Fri Oct 17 17:55:57 UTC 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithInvalidMethod"
"","278","Get author by invalid ID","","Fri Oct 17 17:56:01 UTC 2025","passed","Fri Oct 17 17:56:01 UTC 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByInvalidId"
"","294","Update an author - empty payload","","Fri Oct 17 17:55:56 UTC 2025","failed","Fri Oct 17 17:55:56 UTC 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorEmptyPayload"
