"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","278","Delete a book","","Sun Aug 03 08:58:02 GMT 2025","passed","Sun Aug 03 08:58:03 GMT 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBook"
"","269","Add new book with negative page count","","Sun Aug 03 08:58:04 GMT 2025","failed","Sun Aug 03 08:58:04 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookNegativePageCount"
"","269","Add new book - invalid method","","Sun Aug 03 08:58:03 GMT 2025","passed","Sun Aug 03 08:58:03 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookInvalidMethod"
"","275","Update a book - invalid page count format","","Sun Aug 03 08:58:01 GMT 2025","passed","Sun Aug 03 08:58:01 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithInvalidPageCountFormat"
"","308","Update a book - weird ascii characters in title","","Sun Aug 03 08:58:00 GMT 2025","passed","Sun Aug 03 08:58:00 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithWeirdAsciiCharactersInTitle"
"","288","Delete a book with incorrect ID format","","Sun Aug 03 08:58:02 GMT 2025","passed","Sun Aug 03 08:58:02 GMT 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBookWithIncorrectIdFormat"
"","267","Add new book with invalid page count format","","Sun Aug 03 08:58:04 GMT 2025","passed","Sun Aug 03 08:58:04 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookInvalidPageCount"
"Test to retrieve the list of books and validate the response schema.","507","Get Book List","","Sun Aug 03 08:58:05 GMT 2025","passed","Sun Aug 03 08:58:06 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookList"
"","270","Get book by ID - sql injection","","Sun Aug 03 08:58:07 GMT 2025","passed","Sun Aug 03 08:58:07 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByIdSqlInjection"
"","302","Update a book - non existing id","","Sun Aug 03 08:57:59 GMT 2025","failed","Sun Aug 03 08:58:00 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonExistingId"
"","264","Add new book - lacking title parameter in body","","Sun Aug 03 08:58:04 GMT 2025","failed","Sun Aug 03 08:58:05 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithLackingTitle"
