"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","495","Get author by ID - sql injection","","Mon Aug 04 15:22:10 GMT 2025","passed","Mon Aug 04 15:22:10 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByIdSqlInjection"
"","445","Update an author - invalid book id format","","Mon Aug 04 15:22:01 GMT 2025","passed","Mon Aug 04 15:22:01 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithInvalidIdBookFormat"
"","456","Delete a book with incorrect ID format","","Mon Aug 04 15:22:19 GMT 2025","passed","Mon Aug 04 15:22:20 GMT 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBookWithIncorrectIdFormat"
"","437","Add new book - lacking title parameter in body","","Mon Aug 04 15:22:24 GMT 2025","failed","Mon Aug 04 15:22:25 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithLackingTitle"
"","460","Update an author - non existing book id","","Mon Aug 04 15:22:00 GMT 2025","failed","Mon Aug 04 15:22:01 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithNonExistingBookId"
"","454","Add book with existing id","","Mon Aug 04 15:22:23 GMT 2025","failed","Mon Aug 04 15:22:24 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithExistingId"
"","469","Update a book - incorrect id format","","Mon Aug 04 15:22:19 GMT 2025","passed","Mon Aug 04 15:22:19 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonIncorrectIdFormat"
"","439","Add new book - invalid method","","Mon Aug 04 15:22:20 GMT 2025","passed","Mon Aug 04 15:22:21 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookInvalidMethod"
"","457","Get book by null ID","","Mon Aug 04 15:22:27 GMT 2025","passed","Mon Aug 04 15:22:28 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByNullId"
"","454","Add new book with negative page count","","Mon Aug 04 15:22:23 GMT 2025","failed","Mon Aug 04 15:22:23 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookNegativePageCount"
"","1318","Update an author - empty payload","","Mon Aug 04 15:21:58 GMT 2025","failed","Mon Aug 04 15:21:59 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorEmptyPayload"
"","493","Get author by null ID","","Mon Aug 04 15:22:09 GMT 2025","passed","Mon Aug 04 15:22:10 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByNullId"
"Test to retrieve an author by ID using query parameters instead of path parameters - the param should be ignored and list of authors should be returned.","628","Get author by ID in query param instead of path param","","Mon Aug 04 15:22:11 GMT 2025","passed","Mon Aug 04 15:22:12 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByQueryParam"
"","872","Update an author - problematic characters","","Mon Aug 04 15:22:01 GMT 2025","passed","Mon Aug 04 15:22:02 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithProblematicCharacters"
"","420","Get book by invalid ID","","Mon Aug 04 15:22:25 GMT 2025","passed","Mon Aug 04 15:22:26 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByInvalidId"
"","736","Update a book - lacking title parameter in body","","Mon Aug 04 15:22:15 GMT 2025","failed","Mon Aug 04 15:22:15 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithLackingTitle"
"","471","Update a book - invalid method","","Mon Aug 04 15:22:17 GMT 2025","passed","Mon Aug 04 15:22:17 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithInvalidMethod"
"","447","Add new book","","Mon Aug 04 15:22:23 GMT 2025","passed","Mon Aug 04 15:22:23 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBook"
"","464","Delete an author with non existing ID","","Mon Aug 04 15:22:07 GMT 2025","failed","Mon Aug 04 15:22:07 GMT 2025","","tests.authors.DeleteAuthorTests","tests.authors.DeleteAuthorTests","deleteAuthorWithNonExistingId"
"","457","Add new book - invalid method","","Mon Aug 04 15:22:03 GMT 2025","passed","Mon Aug 04 15:22:04 GMT 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewBookInvalidMethod"
"","474","Update a book - non existing publish date","","Mon Aug 04 15:22:18 GMT 2025","passed","Mon Aug 04 15:22:19 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonExistingPublishDate"
"","473","Update an author - lacking lastname parameter in body","","Mon Aug 04 15:22:02 GMT 2025","failed","Mon Aug 04 15:22:02 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithLackingLastName"
"Test to retrieve the list of books and validate the response schema.","733","Get Book List","","Mon Aug 04 15:22:26 GMT 2025","passed","Mon Aug 04 15:22:27 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookList"
"","450","Update a book with id","","Mon Aug 04 15:22:13 GMT 2025","passed","Mon Aug 04 15:22:13 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookById"
"","444","Get book by ID","","Mon Aug 04 15:22:26 GMT 2025","passed","Mon Aug 04 15:22:26 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookById"
"","428","Delete a book with non existing ID","","Mon Aug 04 15:22:19 GMT 2025","failed","Mon Aug 04 15:22:19 GMT 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBookWithNonExistingId"
"","472","Update an author with id","","Mon Aug 04 15:22:02 GMT 2025","passed","Mon Aug 04 15:22:03 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorById"
