"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","356","Update a book - invalid page count format","","Sun Aug 03 08:44:30 GMT 2025","passed","Sun Aug 03 08:44:30 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithInvalidPageCountFormat"
"","346","Get book by ID - sql injection","","Sun Aug 03 08:44:37 GMT 2025","passed","Sun Aug 03 08:44:37 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByIdSqlInjection"
"","361","Add new book - invalid method","","Sun Aug 03 08:44:31 GMT 2025","passed","Sun Aug 03 08:44:32 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookInvalidMethod"
"","363","Add new book with invalid page count format","","Sun Aug 03 08:44:34 GMT 2025","passed","Sun Aug 03 08:44:34 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookInvalidPageCount"
"","817","Update a book with id","","Sun Aug 03 08:44:26 GMT 2025","passed","Sun Aug 03 08:44:27 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookById"
"","384","Update a book - lacking title parameter in body","","Sun Aug 03 08:44:28 GMT 2025","failed","Sun Aug 03 08:44:28 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithLackingTitle"
"","375","Update a book - non existing id","","Sun Aug 03 08:44:27 GMT 2025","failed","Sun Aug 03 08:44:28 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonExistingId"
"","363","Add book with incorrect timestamp","","Sun Aug 03 08:44:34 GMT 2025","passed","Sun Aug 03 08:44:35 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithIncorrectTimestamp"
"Test to retrieve a book by ID using query parameters instead of path parameters - the param should be ignored and list of books should be returned.","655","Get book by ID in query param instead of path param","","Sun Aug 03 08:44:36 GMT 2025","passed","Sun Aug 03 08:44:37 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByQueryParam"
"","377","Update a book - invalid method","","Sun Aug 03 08:44:29 GMT 2025","passed","Sun Aug 03 08:44:29 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithInvalidMethod"
"","370","Update a book - negative page count","","Sun Aug 03 08:44:29 GMT 2025","failed","Sun Aug 03 08:44:30 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNegativePageCount"
"","397","Update a book - weird ascii characters in title","","Sun Aug 03 08:44:28 GMT 2025","passed","Sun Aug 03 08:44:29 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithWeirdAsciiCharactersInTitle"
"","372","Add book with incorrect id format","","Sun Aug 03 08:44:32 GMT 2025","passed","Sun Aug 03 08:44:32 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithIncorrectIdFormat"
"Test to retrieve the list of books and validate the response schema.","641","Get Book List","","Sun Aug 03 08:44:35 GMT 2025","passed","Sun Aug 03 08:44:36 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookList"
"","332","Add new book with negative page count","","Sun Aug 03 08:44:33 GMT 2025","failed","Sun Aug 03 08:44:33 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookNegativePageCount"
"","361","Delete a book","","Sun Aug 03 08:44:31 GMT 2025","passed","Sun Aug 03 08:44:31 GMT 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBook"
"","370","Add new book","","Sun Aug 03 08:44:33 GMT 2025","passed","Sun Aug 03 08:44:33 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBook"
"","360","Add book with existing id","","Sun Aug 03 08:44:33 GMT 2025","failed","Sun Aug 03 08:44:34 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithExistingId"
"This scenario fails beecause the API does not validate if the body is empty.","372","Add new book - empty payload","","Sun Aug 03 08:44:32 GMT 2025","failed","Sun Aug 03 08:44:32 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookEmptyPayload"
"","383","Update a book - incorrect id format","","Sun Aug 03 08:44:30 GMT 2025","passed","Sun Aug 03 08:44:30 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonIncorrectIdFormat"
"","360","Delete a book with non existing ID","","Sun Aug 03 08:44:30 GMT 2025","failed","Sun Aug 03 08:44:31 GMT 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBookWithNonExistingId"
"","385","Get book by non existing ID","","Sun Aug 03 08:44:36 GMT 2025","passed","Sun Aug 03 08:44:36 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByNonExistingId"
"","380","Delete a book with incorrect ID format","","Sun Aug 03 08:44:31 GMT 2025","passed","Sun Aug 03 08:44:31 GMT 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBookWithIncorrectIdFormat"
"","358","Add new book - lacking title parameter in body","","Sun Aug 03 08:44:34 GMT 2025","failed","Sun Aug 03 08:44:34 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithLackingTitle"
"","381","Update a book - empty payload","","Sun Aug 03 08:44:28 GMT 2025","failed","Sun Aug 03 08:44:28 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookEmptyPayload"
"","375","Get book by ID","","Sun Aug 03 08:44:35 GMT 2025","passed","Sun Aug 03 08:44:35 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookById"
"","1620","Update a book - incorrect timestamp","","Sun Aug 03 08:44:25 GMT 2025","passed","Sun Aug 03 08:44:26 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonIncorrectTimestamp"
