"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","283","Get book by ID - sql injection","","Mon Aug 04 15:25:00 GMT 2025","passed","Mon Aug 04 15:25:00 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByIdSqlInjection"
"","286","Add new book with negative page count","","Mon Aug 04 15:24:56 GMT 2025","failed","Mon Aug 04 15:24:57 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookNegativePageCount"
"Test to retrieve an author by ID using query parameters instead of path parameters - the param should be ignored and list of authors should be returned.","400","Get author by ID in query param instead of path param","","Mon Aug 04 15:24:49 GMT 2025","passed","Mon Aug 04 15:24:50 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByQueryParam"
"","311","Update an author - lacking lastname parameter in body","","Mon Aug 04 15:24:44 GMT 2025","failed","Mon Aug 04 15:24:44 GMT 2025","","tests.authors.UpdateAuthorTests","tests.authors.UpdateAuthorTests","updateAuthorWithLackingLastName"
"","300","Delete a book","","Mon Aug 04 15:24:54 GMT 2025","passed","Mon Aug 04 15:24:55 GMT 2025","","tests.books.DeleteBookTests","tests.books.DeleteBookTests","deleteBook"
"","285","Get author by ID - sql injection","","Mon Aug 04 15:24:49 GMT 2025","passed","Mon Aug 04 15:24:49 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByIdSqlInjection"
"","283","Update a book - non existing id","","Mon Aug 04 15:24:51 GMT 2025","failed","Mon Aug 04 15:24:51 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNonExistingId"
"","288","Update a book - invalid method","","Mon Aug 04 15:24:52 GMT 2025","passed","Mon Aug 04 15:24:53 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithInvalidMethod"
"","444","Get Authors List","","Mon Aug 04 15:24:49 GMT 2025","passed","Mon Aug 04 15:24:49 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorsList"
"","284","Get book by null ID","","Mon Aug 04 15:24:59 GMT 2025","passed","Mon Aug 04 15:24:59 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByNullId"
